Date;Ibirapuera;Pinheiros
26 de julho de 2017;1184;1354
27 de julho de 2017;1085;1254
28 de julho de 2017;1025;1149
29 de julho de 2017;2115;2278
30 de julho de 2017;1230;1375
31 de julho de 2017;1308;1554
1 de agosto de 2017;1329;1484
2 de agosto de 2017;1061;1248
3 de agosto de 2017;886;1007
4 de agosto de 2017;563;619
5 de agosto de 2017;1799;1901
6 de agosto de 2017;1337;1482
7 de agosto de 2017;1517;1666
8 de agosto de 2017;1480;1728
9 de agosto de 2017;1260;1366
10 de agosto de 2017;1276;1386
11 de agosto de 2017;930;1076
12 de agosto de 2017;1400;1473
13 de agosto de 2017;1402;1519
14 de agosto de 2017;828;907
15 de agosto de 2017;777;913
16 de agosto de 2017;588;695
17 de agosto de 2017;741;855
18 de agosto de 2017;196;208
19 de agosto de 2017;512;496
20 de agosto de 2017;661;750
21 de agosto de 2017;1081;1202
22 de agosto de 2017;1263;1420
23 de agosto de 2017;1309;1505
24 de agosto de 2017;1255;1431
25 de agosto de 2017;1075;1146
26 de agosto de 2017;2126;2287
27 de agosto de 2017;1479;1624
28 de agosto de 2017;1531;1775
29 de agosto de 2017;1556;1776
30 de agosto de 2017;1157;1219
31 de agosto de 2017;1267;1363
1 de setembro de 2017;1042;1128
2 de setembro de 2017;2190;2472
3 de setembro de 2017;1442;1610
4 de setembro de 2017;1466;1674
5 de setembro de 2017;1377;1608
6 de setembro de 2017;1774;1925
7 de setembro de 2017;891;991
8 de setembro de 2017;902;975
9 de setembro de 2017;1840;2041
10 de setembro de 2017;1492;1610
11 de setembro de 2017;1545;1721
12 de setembro de 2017;1521;1674
13 de setembro de 2017;1523;1662
14 de setembro de 2017;1404;1578
15 de setembro de 2017;1090;1203
16 de setembro de 2017;2062;2325
17 de setembro de 2017;1470;1548
18 de setembro de 2017;1564;1689
19 de setembro de 2017;1521;1723
20 de setembro de 2017;1501;1629
21 de setembro de 2017;1410;1568
22 de setembro de 2017;1063;1162
23 de setembro de 2017;1729;1964
24 de setembro de 2017;1426;1566
25 de setembro de 2017;1597;1713
26 de setembro de 2017;1581;1705
27 de setembro de 2017;1335;1369
28 de setembro de 2017;1037;1116
29 de setembro de 2017;364;452
30 de setembro de 2017;1800;1877
1 de outubro de 2017;1042;1240
2 de outubro de 2017;1051;1228
3 de outubro de 2017;1552;1739
4 de outubro de 2017;1553;1721
5 de outubro de 2017;1391;1543
6 de outubro de 2017;214;223
7 de outubro de 2017;1332;1471
8 de outubro de 2017;1548;1676
9 de outubro de 2017;1418;1516
10 de outubro de 2017;1353;1508
11 de outubro de 2017;1472;1584
12 de outubro de 2017;835;921
13 de outubro de 2017;796;838
14 de outubro de 2017;888;992
15 de outubro de 2017;1259;1379
16 de outubro de 2017;1477;1637
17 de outubro de 2017;1575;1704
18 de outubro de 2017;1536;1784
19 de outubro de 2017;1326;1388
20 de outubro de 2017;838;958
21 de outubro de 2017;566;633
22 de outubro de 2017;925;1116
23 de outubro de 2017;1272;1426
24 de outubro de 2017;1410;1551
25 de outubro de 2017;958;1095
26 de outubro de 2017;902;1012
27 de outubro de 2017;967;1081
28 de outubro de 2017;1456;1522
29 de outubro de 2017;1169;1227
30 de outubro de 2017;1320;1425
31 de outubro de 2017;1407;1546
1 de novembro de 2017;1925;2092
